Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-31,85.9,85.93,85.55,85.72,10594344.0,0.0,1.0,83.76890857884855,83.79816430943487,83.42759172200806,83.59337419533058,10594344.0
2017-12-24,85.4,85.63,84.92,85.51,14145841.0,0.0,1.0,83.28131306907643,83.5056070035716,82.81322137969521,83.3885840812263,14145841.0
2017-12-17,85.26,87.09,84.88,86.85,53936687.0,0.0,1.0,83.14478632634024,84.92938589210617,82.77421373891343,84.69534004741554,53936687.0
2017-12-10,83.63,84.58,83.33,84.16,24489106.0,0.0,1.0,81.55522496448316,82.48165643305016,81.26266765861989,82.0720762048416,24489106.0
2017-12-03,83.6,84.81,83.22,84.26,29532132.0,0.0,1.0,81.52596923389683,82.70595036754534,81.15539664647002,82.16959530679603,29532132.0
2017-11-26,83.01,83.43,82.78,83.26,7425603.0,0.0,1.0,80.95060653236575,81.36018676057432,80.72631259787057,81.1944042872518,7425603.0
2017-11-19,83.12,83.12,82.24,82.4,22078993.0,0.0,1.0,81.0578775445156,81.0578775445156,80.19970944731669,80.35574001044377,22078993.0
2017-11-12,83.79,84.095,83.23,83.87,19397793.0,0.0,1.0,81.29975999617623,81.59569539179424,80.75640320422183,81.37738239502686,19397793.0
2017-11-05,84.08,84.54,83.4,84.14,17633543.0,0.0,1.0,81.58114119200975,82.02746998540087,80.92135080177941,81.63935799114772,17633543.0
2017-10-29,84.37,86.2,83.61,83.81,71066729.0,0.0,1.0,81.86252238784328,83.63813476155138,81.12510959876231,81.31916559588888,71066729.0
2017-10-22,78.32,78.97,78.22,78.81,22866426.0,0.0,1.0,75.99232847476455,76.6230104654259,75.89530047620127,76.46776566772465,22866426.0
2017-10-15,77.59,77.87,77.29,77.49,15335742.0,0.0,1.0,75.28402408525258,75.55570248122977,74.99294008956272,75.18699608668929,15335742.0
2017-10-08,75.67,76.03,75.54,76.0,13959814.0,0.0,1.0,73.4210865128375,73.77038730766533,73.29495011470524,73.74127890809635,13959814.0
2017-10-01,73.94,74.535,73.88,74.49,17079114.0,0.0,1.0,71.74250213769268,72.31981872914422,71.6842853385547,72.27615612979075,17079114.0
